D?ugo?? przed?u?e?,Cz?stotliwo?c podwójnego skoku,Rozpi?to?c pi?,Ilo?? pi?,D?ugo?? kolców,Cz?stotliwo?c pu?apek,D?ugo?? ?lizgania,Entry Rank,Highest Rank,Final Rank,Score,
0.09501901,0.150555,0.09898493,0.04879397,0.3556017,0.9057537,0,0.2458782,0.2458782,0.2363869,0,139
0.1116318,0.162641,0.1134082,0.06560849,0.3385946,0.9110492,0.01482799,0.2363869,0.2497838,0.2453945,3,140
0.1169975,0.1658514,0.1181623,0.07107388,0.3181953,0.9129435,0.01965734,0.2453945,0.2497517,0.2461259,1,141
0.1031913,0.1478967,0.1233812,0.07635623,0.3224839,0.9137712,0,0.2461259,0.2505786,0.2410115,1,142
0.1086316,0.1311606,0.09726128,0.05814297,0.3280927,0.9156627,0.005,0.2410115,0.245712,0.2348503,1,143
0.1297961,0.1494604,0.09270177,0.05652506,0.3454323,0.9223534,0.02443118,0.2348503,0.2525435,0.2458143,4,144
0.1452196,0.1615808,0.1060961,0.07276072,0.3393044,0.9260499,0.03842658,0.2458143,0.2586628,0.255634,3,145
0.1452196,0.1615808,0.1060961,0.07276072,0.3140084,0.9260499,0.03842658,0.255634,0.255634,0.2520203,0,146
0.1452196,0.1615808,0.1060961,0.07276072,0.2881998,0.9260499,0.03842658,0.2520203,0.2520203,0.2483333,0,147
0.1501354,0.1648018,0.1119905,0.07815816,0.2710231,0.9279341,0.04298533,0.2483333,0.2528183,0.2495755,1,148
0.1646403,0.1742732,0.1286828,0.09397995,0.2606258,0.9331404,0.05635221,0.2495755,0.2624322,0.2588135,3,149
0.1646403,0.1507524,0.1036361,0.06974475,0.2606258,0.9331404,0.05635221,0.2588135,0.2588135,0.2484131,0,150
0.1741723,0.1573802,0.09513935,0.05709642,0.2701024,0.9358115,0.06501265,0.2484131,0.2569062,0.2506735,2,151
0.2191346,0.1949176,0.1491971,0.1096187,0.2935175,0.9527165,0.1062291,0.2506735,0.2924542,0.289333,10,152
0.2392593,0.1895182,0.1494859,0.1070377,0.3181115,0.9597825,0.1248278,0.289333,0.3093832,0.298289,5,153
0.2476033,0.1747178,0.1377157,0.0910442,0.3305417,0.9618461,0.1319921,0.298289,0.3072023,0.2964944,2,154
0.2476033,0.1747178,0.11236,0.06593947,0.3305417,0.9618461,0.1319921,0.2964944,0.2964944,0.2892857,0,155
0.2515042,0.1778082,0.09071979,0.04820496,0.3354998,0.9626538,0.1358754,0.2892857,0.2933337,0.286038,1,156
0.2555511,0.1808683,0.09593759,0.05370158,0.3221337,0.9636545,0.1393602,0.286038,0.2901925,0.2873153,1,157
0.2592535,0.1860884,0.102066,0.05929735,0.3035332,0.9654873,0.1430196,0.2873153,0.2918043,0.2883922,1,158
0.2380416,0.1722492,0.1170277,0.07559642,0.3180732,0.969637,0.1228647,0.2883922,0.3000863,0.2876414,3,159
0.2195114,0.1770431,0.1342785,0.09135679,0.3336532,0.9739487,0.1011584,0.2876414,0.3004915,0.2901357,3,160
0.2195114,0.1770431,0.1070377,0.06711186,0.3336532,0.9739487,0.1011584,0.2901357,0.2901357,0.2827806,0,161
0.1916259,0.1678265,0.1070377,0.06711186,0.3336532,0.9739487,0.07043828,0.2827806,0.2827806,0.2730917,0,162
0.1961182,0.1641121,0.08680783,0.04954296,0.339616,0.9757851,0.07463437,0.2730917,0.2777048,0.2695166,1,163
0.1694135,0.1641121,0.08680783,0.04954296,0.339616,0.9757851,0.04537987,0.2695166,0.2695166,0.2615225,0,164
0.1925579,0.1891036,0.113196,0.07689834,0.3359412,0.9827619,0.06727447,0.2615225,0.2836871,0.2796762,5,165
0.165786,0.1891036,0.113196,0.07689834,0.3359412,0.9827619,0.03843252,0.2796762,0.2796762,0.2717313,0,166
0.1705125,0.1884978,0.09488685,0.05823847,0.3401375,0.983409,0.04299119,0.2717313,0.2757549,0.2683819,1,167
0.1750392,0.187907,0.07575641,0.0408691,0.3458503,0.9839998,0.04749785,0.2683819,0.2723287,0.2652742,1,168
0.1797485,0.1930461,0.08104725,0.04657055,0.3203636,0.9858028,0.05195318,0.2652742,0.2699028,0.2655046,1,169
0.1654444,0.1881655,0.0975564,0.06311857,0.3360265,0.989738,0.0369508,0.2655046,0.2798445,0.2681429,3,170
0.1691709,0.1835089,0.07613909,0.04485262,0.3395293,0.9900783,0.04152641,0.2681429,0.2721544,0.2635437,1,171
0.1518503,0.1671337,0.08537688,0.05602706,0.3490852,0.9922885,0.02262638,0.2635437,0.2718977,0.2606269,2,172
0.1399329,0.1570183,0.09916659,0.07192571,0.3583928,0.994999,0.009576485,0.2606269,0.2725428,0.2615731,3,173
0.108096,0.1344845,0.09916659,0.07192571,0.3583928,0.994999,0,0.2615731,0.2615731,0.2524378,0,174
0.108096,0.1344845,0.09916659,0.07192571,0.3214797,0.994999,0,0.2524378,0.2524378,0.2471645,0,175
0.1080313,0.1615176,0.1289564,0.1022594,0.3417372,1,0.002474702,0.2471645,0.271633,0.2635681,6,176
0.08544993,0.1615176,0.1289564,0.1022594,0.3417372,1,0,0.2635681,0.2635681,0.2599886,0,177
0.1146406,0.1875984,0.1581875,0.130677,0.3397082,1,0.02938017,0.2599886,0.2830682,0.2800274,6,178
0.09971311,0.1688745,0.1693327,0.1396197,0.3439806,1,0.01143221,0.2800274,0.2868991,0.2761361,2,179
0.09971311,0.1688745,0.1693327,0.1396197,0.3191434,1,0.01143221,0.2761361,0.2761361,0.272588,0,180
0.0829915,0.148631,0.174695,0.1441852,0.3252743,1,0,0.272588,0.2768225,0.2679681,1,181
0.06180853,0.1265743,0.174695,0.1441852,0.3252743,1,0,0.2679681,0.2679681,0.2617911,0,182
0.09097974,0.1506981,0.1981873,0.1663491,0.3293573,1,0.02443118,0.2617911,0.2831003,0.2800004,5,183
0.09097974,0.1506981,0.1981873,0.1663491,0.3086267,1,0.02443118,0.2800004,0.2800004,0.2770389,0,184
0.08000366,0.1617651,0.2081565,0.1749424,0.3182567,1,0.007089102,0.2770389,0.2856126,0.2786019,2,185
0.08000366,0.1617651,0.1851629,0.1458398,0.3182567,1,0.007089102,0.2786019,0.2786019,0.2711596,0,186
0.09709901,0.1778963,0.1977921,0.1592471,0.3108202,1,0.02167517,0.2711596,0.2839036,0.2806471,3,187
0.1025889,0.1831506,0.2018088,0.1636419,0.2910403,1,0.02642583,0.2806471,0.2847515,0.2812366,1,188
0.0800482,0.1831506,0.2018088,0.1636419,0.2910403,1,0.001055957,0.2812366,0.2812366,0.2743922,0,189
0.05840659,0.1831506,0.2018088,0.1636419,0.2910403,1,0,0.2743922,0.2743922,0.2711497,0,190
0.03872193,0.15912,0.2018088,0.1636419,0.2910403,1,0,0.2711497,0.2711497,0.2649047,0,191
0.04492883,0.1623659,0.2066354,0.1679624,0.2752026,1,0.005,0.2649047,0.2689169,0.2660136,1,192
0.04296105,0.1485241,0.2216429,0.1806774,0.2901132,1,0,0.2660136,0.2781474,0.2691312,3,193
0.06726506,0.1430889,0.2172742,0.1666896,0.3111687,1,0.01965734,0.2691312,0.2858862,0.2750205,4,194
0.09057274,0.1382002,0.2094924,0.1540833,0.3334258,1,0.03865372,0.2750205,0.2919039,0.2806326,4,195
0.1126986,0.1540259,0.2258148,0.1715544,0.3279032,1,0.05724267,0.2806326,0.2962893,0.2927485,4,196
0.1126986,0.1540259,0.2258148,0.1715544,0.2985518,1,0.05724267,0.2927485,0.2927485,0.2885554,0,197
0.09481806,0.1573234,0.2301398,0.1758067,0.3025461,1,0.03342455,0.2885554,0.2922592,0.2848655,1,198
0.132941,0.1880325,0.233736,0.1735036,0.3399889,1,0.06465215,0.2848655,0.3129965,0.3046935,7,199
0.1088015,0.1880325,0.233736,0.1735036,0.3399889,1,0.03595772,0.3046935,0.3046935,0.2971458,0,200
0.08568204,0.1880325,0.233736,0.1735036,0.3399889,1,0.008892547,0.2971458,0.2971458,0.2899765,0,201
0.06989297,0.1931703,0.2391125,0.1775908,0.3459884,1,0,0.2899765,0.2944705,0.2893936,1,202
0.08736163,0.2111822,0.251189,0.1900048,0.3330554,1,0.01482799,0.2893936,0.3019931,0.2982316,3,203
0.07116932,0.2083288,0.2566747,0.1940234,0.3371464,1,0,0.2982316,0.3028049,0.2953347,1,204
0.08912808,0.1840457,0.2444505,0.1750719,0.3509771,1,0.01482799,0.2953347,0.3073547,0.2940716,3,205
0.1112108,0.1859853,0.2333464,0.161867,0.3710164,1,0.0338151,0.2940716,0.3086907,0.2996058,4,206
0.1220426,0.1842569,0.2156346,0.1419362,0.3800472,1,0.04298533,0.2996058,0.3071983,0.298129,2,207
0.1273324,0.1872543,0.2205739,0.1465347,0.352873,1,0.04749205,0.298129,0.3018441,0.2974372,1,208
0.1273324,0.18377,0.1993521,0.1193455,0.352873,1,0.04749205,0.2974372,0.2974372,0.2900236,0,209
0.1369378,0.1789504,0.2307984,0.1522456,0.3853292,1,0.04821856,0.2900236,0.3161303,0.30464,7,210
0.1369378,0.1789504,0.2307984,0.1522456,0.3625521,1,0.04821856,0.30464,0.30464,0.3013861,0,211
0.12694,0.165726,0.2428906,0.1652278,0.3745567,1,0.03382883,0.3013861,0.3124766,0.30131,3,212
0.142906,0.1767458,0.2291015,0.1486838,0.3909633,1,0.04750531,0.30131,0.313257,0.3051294,3,213
0.1230631,0.1820133,0.2320387,0.1530358,0.394832,1,0.02398365,0.3051294,0.3088371,0.3012809,1,214
0.1230631,0.1820133,0.2320387,0.1530358,0.3720321,1,0.02398365,0.3012809,0.3012809,0.2980238,0,215
0.1230631,0.1820133,0.2320387,0.1530358,0.3416856,1,0.02398365,0.2980238,0.2980238,0.2936886,0,216
0.0978151,0.1580481,0.2320387,0.1530358,0.3416856,1,0.00105218,0.2936886,0.2936886,0.2833822,0,217
0.108941,0.1613687,0.2198588,0.1339012,0.3511622,1,0.01097053,0.2833822,0.2914119,0.2837432,2,218
