platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score,
0.7656877,0.1158523,0.1391544,0.1454384,0.3096569,0.727544,0.5009132,0.3835955,0.388695,0.386321,2,1.8
0.7656877,0.1158523,0.1391544,0.1454384,0.2902201,0.727544,0.5009132,0.386321,0.386321,0.3835443,0,1.75
0.7705036,0.1374872,0.15875,0.1630095,0.2784727,0.7310454,0.5060477,0.3835443,0.3962715,0.392188,4,1.95
0.7705036,0.1374872,0.15875,0.1630095,0.253221,0.7310454,0.5060477,0.392188,0.392188,0.3885807,0,1.7
0.7705036,0.1374872,0.15875,0.1630095,0.2274087,0.7310454,0.5060477,0.3885807,0.3885807,0.3848932,0,1.7
0.7705036,0.1160611,0.15875,0.1630095,0.2274087,0.7310454,0.5060477,0.3848932,0.3848932,0.3818323,0,1.35
0.7705036,0.1160611,0.15875,0.1630095,0.2030818,0.7310454,0.5060477,0.3818323,0.3818323,0.378357,0,1.3
0.7705036,0.09583373,0.15875,0.1630095,0.2030818,0.7310454,0.5060477,0.378357,0.378357,0.3754674,0,1.25
0.7729426,0.1036194,0.1665532,0.1715076,0.1943813,0.7328349,0.5088984,0.3754674,0.3813296,0.3786767,2,1.25
0.7812968,0.1148266,0.1673784,0.1691346,0.236494,0.7389973,0.5201858,0.3786767,0.4016293,0.3897591,7,1.6
0.7812968,0.09466768,0.1673784,0.1691346,0.236494,0.7389973,0.5201858,0.3897591,0.3897591,0.3868792,0,1.6
0.7812968,0.09466768,0.1673784,0.1691346,0.236494,0.7389973,0.5201858,0.3868792,0.3868792,0.3868792,0,1.35
0.7824982,0.1008571,0.1725659,0.1733447,0.2421602,0.7398886,0.5216653,0.3868792,0.3904257,0.3904257,1,1.4
0.7882136,0.1219061,0.1973356,0.1936612,0.2502916,0.7441239,0.5282763,0.3904257,0.4059252,0.4034012,5,1.45
0.7893881,0.1255384,0.2027585,0.1976002,0.254535,0.7450077,0.5296721,0.4034012,0.4063571,0.4063571,1,1.45
0.7903966,0.1313874,0.2070923,0.2014731,0.2393512,0.7457375,0.5305451,0.4063571,0.4094999,0.406569,1,1.45
0.7471581,0.1292555,0.210441,0.2053056,0.2443658,0.7464356,0.4866889,0.406569,0.4095199,0.3956644,1,1.5
0.7495254,0.1191915,0.1958371,0.1815007,0.2549366,0.7478755,0.4888744,0.3956644,0.4018951,0.3911059,2,1.45
0.7532983,0.1223591,0.2077961,0.1935425,0.2732778,0.7502134,0.4933361,0.3911059,0.4002175,0.3991176,3,1.45
0.7545692,0.1259865,0.212247,0.1974695,0.2792113,0.7510102,0.4944093,0.3991176,0.402129,0.402129,1,1.5
0.7545692,0.1259865,0.212247,0.1974695,0.2606966,0.7510102,0.4944093,0.402129,0.402129,0.399484,0,1.4
0.7568377,0.1119458,0.2188783,0.2051721,0.2710372,0.752409,0.4972809,0.399484,0.404963,0.4019372,2,1.5
0.7568377,0.1119458,0.2188783,0.2051721,0.2416452,0.752409,0.4972809,0.4019372,0.4019372,0.3977384,0,1.3
0.7615167,0.1288973,0.2361753,0.2201141,0.2610151,0.755326,0.5022938,0.3977384,0.409334,0.409334,4,1.5
0.7615167,0.1288973,0.206773,0.1884239,0.2610151,0.755326,0.5022938,0.409334,0.409334,0.4006065,0,1.5
0.7627954,0.1324554,0.2113921,0.1924145,0.2420976,0.756134,0.5031942,0.4006065,0.4036848,0.400069,1,1.55
0.7650406,0.1439332,0.1985706,0.1696218,0.2511432,0.7575448,0.5050627,0.400069,0.4059184,0.3987024,2,1.65
0.7671742,0.1551531,0.2062614,0.1779336,0.2351266,0.7588694,0.5068394,0.3987024,0.4046721,0.4010511,2,1.75
0.7671742,0.1551531,0.1771926,0.1485574,0.2351266,0.7588694,0.5068394,0.4010511,0.4010511,0.3927018,0,1.65
0.7682454,0.1358243,0.1465155,0.1249111,0.2399976,0.7595363,0.5078545,0.3927018,0.3954314,0.3832693,1,1.35
0.7682454,0.1358243,0.1292243,0.09853904,0.2399976,0.7595363,0.5078545,0.3832693,0.3832693,0.3770316,0,1.35
0.7750406,0.161084,0.1561036,0.1277028,0.2404683,0.7638454,0.5135858,0.3770316,0.3956284,0.3911186,6,1.65
0.7329425,0.1490735,0.1662098,0.1370044,0.2498149,0.7652947,0.4698006,0.3911186,0.3976678,0.3814487,2,1.7
0.7344419,0.1546571,0.1714604,0.1415916,0.2404668,0.766111,0.4711162,0.3814487,0.3848201,0.382835,1,1.5
0.6933466,0.1374632,0.1755575,0.1461262,0.2463102,0.7669244,0.4334823,0.382835,0.386317,0.3713157,1,1.5
0.6978096,0.1477602,0.1640403,0.1310122,0.2632216,0.7689494,0.4370528,0.3713157,0.380045,0.3728352,3,1.6
0.7023662,0.1621418,0.1751678,0.1447557,0.2508205,0.7710458,0.4408383,0.3728352,0.3823092,0.3781622,3,1.7
