Długość platformy,Częstotliwość podwójnego skoku,Rozpiętość pił,Ilość pił,Długość kolców,Częstotliwość pułapek,Długość ślizgania,Entry Rank,Highest Rank,Final Rank,Score
0.7663997,0.1347042,0.1600182,0.148662,0.4162528,0.7004959,0.5479091,0.4117902,0.4117902,0.4106345,0
0.7722639,0.15497,0.1733314,0.1624114,0.4098919,0.7053081,0.5512769,0.4106345,0.421552,0.4184934,3
0.7722639,0.15497,0.1733314,0.1624114,0.3858561,0.7053081,0.5512769,0.4184934,0.4184934,0.4150597,0
0.7722639,0.1464932,0.1733314,0.1624114,0.3858561,0.7053081,0.5512769,0.4150597,0.4150597,0.4138487,0
0.7749727,0.1615238,0.1629899,0.1472214,0.3998898,0.7075755,0.5540532,0.4138487,0.4227445,0.4154609,3
0.7749727,0.1528324,0.1629899,0.1472214,0.3998898,0.7075755,0.5540532,0.4154609,0.4154609,0.4142193,0
0.7764013,0.1643763,0.1460131,0.1291817,0.4083348,0.7087389,0.5557056,0.4142193,0.4202818,0.4126788,2
0.7764013,0.1414224,0.1460131,0.1291817,0.4083348,0.7087389,0.5557056,0.4126788,0.4126788,0.4093997,0
0.7787533,0.1366957,0.1501556,0.1340818,0.4124292,0.7106293,0.556533,0.4093997,0.4124903,0.4113254,1
0.7787533,0.1366957,0.1501556,0.1340818,0.3883095,0.7106293,0.556533,0.4113254,0.4113254,0.4078797,0
0.7803478,0.1162317,0.1577976,0.1433978,0.3965786,0.7119429,0.5579621,0.4078797,0.4139344,0.4091798,2
0.7803478,0.1136696,0.1261065,0.1166893,0.3965786,0.7119429,0.5579621,0.4091798,0.4091798,0.400471,0
0.7476097,0.1270983,0.1446133,0.1360092,0.4114453,0.7165756,0.5181734,0.400471,0.4130673,0.4002178,4
0.7476097,0.1270983,0.1446133,0.1360092,0.3880844,0.7165756,0.5181734,0.4002178,0.4002178,0.3968806,0
0.7490997,0.1162779,0.1575523,0.1487722,0.3949118,0.7176411,0.5206913,0.3968806,0.4037693,0.4007066,3
0.7517883,0.1016596,0.1617836,0.1534437,0.3995648,0.719598,0.5221678,0.4007066,0.4043681,0.4014294,1
0.7530562,0.1223739,0.1724677,0.1648546,0.3790742,0.7206493,0.5254852,0.4014294,0.4091489,0.405423,3
0.7541101,0.1119593,0.15085,0.1473316,0.3840016,0.7216957,0.5279267,0.405423,0.4112003,0.3996964,3
0.7622427,0.1311657,0.1687737,0.1647448,0.3733588,0.7277842,0.5338479,0.3996964,0.4125215,0.4088454,4
0.7250991,0.1100953,0.1687737,0.1647448,0.3733588,0.7277842,0.4908573,0.4088454,0.4088454,0.3943876,0
0.7309034,0.1198332,0.1768754,0.1736877,0.360647,0.7315581,0.4943902,0.3943876,0.4014312,0.3982708,2
0.7391024,0.1373736,0.1902788,0.1866881,0.3537448,0.7368443,0.4992968,0.3982708,0.40962,0.4061899,3
0.7414561,0.1430897,0.1942514,0.190878,0.3386274,0.7383372,0.5014617,0.4061899,0.4099159,0.4068716,1
0.7436424,0.1487411,0.1761206,0.1657876,0.3445735,0.7396489,0.5030532,0.4068716,0.4105079,0.403081,1
0.7480181,0.1554099,0.1855167,0.1744861,0.3327681,0.742504,0.5067773,0.403081,0.4097843,0.4064972,2
0.7527598,0.1641674,0.1949795,0.1830673,0.324977,0.7455549,0.5093455,0.4064972,0.4134924,0.4106931,2
0.7527598,0.1641674,0.1736771,0.1546088,0.324977,0.7455549,0.5093455,0.4106931,0.4106931,0.4035843,0
0.7527598,0.1641674,0.1450375,0.1274311,0.324977,0.7455549,0.5093455,0.4035843,0.4035843,0.3956105,0
0.7572696,0.1727376,0.153488,0.1370765,0.3142036,0.7484246,0.5118875,0.3956105,0.4024508,0.3992982,2
0.7599669,0.178051,0.1350233,0.1154482,0.3195143,0.7502345,0.5131922,0.3992982,0.4030169,0.3959186,1
0.7599669,0.178051,0.1350233,0.1154482,0.3019318,0.7502345,0.5131922,0.3959186,0.3959186,0.3934068,0
0.7620401,0.1833035,0.1173837,0.09554311,0.3094175,0.7515038,0.5147127,0.3934068,0.397243,0.3905578,1
0.7641359,0.1863101,0.1214748,0.1007383,0.2946861,0.752878,0.5161852,0.3905578,0.3938321,0.3909155,1
0.7713738,0.2024444,0.1169796,0.09156266,0.3127934,0.7577384,0.5196573,0.3909155,0.4026845,0.3960785,3
0.7361702,0.2018296,0.1250975,0.1018956,0.3253881,0.7598785,0.4784394,0.3960785,0.4030643,0.3898141,2
0.7391003,0.2068085,0.1296394,0.1071333,0.3119124,0.7616646,0.479929,0.3898141,0.3936288,0.390884,1
0.7467355,0.2085448,0.14422,0.1223243,0.3296323,0.7663446,0.4847717,0.390884,0.4019063,0.4003676,3
0.7492225,0.1856617,0.1505443,0.1272564,0.3359517,0.7678258,0.4864259,0.4003676,0.4040771,0.4004126,1
0.7492225,0.1856617,0.1505443,0.1272564,0.3359517,0.7678258,0.4864259,0.4004126,0.4004126,0.4004126,0
0.7533054,0.1670842,0.1327584,0.1109795,0.34813,0.7702166,0.4895467,0.4004126,0.4072598,0.396003,2
0.7574803,0.1642941,0.1189755,0.09604777,0.3606329,0.7726549,0.4925878,0.396003,0.402999,0.3946676,2
0.7574803,0.1642941,0.1189755,0.09604777,0.3382172,0.7726549,0.4925878,0.3946676,0.3946676,0.3914654,0
0.7574803,0.1642941,0.1189755,0.09604777,0.3168173,0.7726549,0.4925878,0.3914654,0.3914654,0.3884082,0
0.766374,0.1812466,0.1381226,0.116561,0.3126583,0.7782232,0.497743,0.3884082,0.402467,0.3987041,4
0.7709678,0.1894542,0.1497287,0.1264505,0.3243463,0.7810508,0.5009332,0.3987041,0.4061331,0.4061331,2
0.7736741,0.1945755,0.1553421,0.1313959,0.3125924,0.7828014,0.5019175,0.4061331,0.4098936,0.4074712,1
